fname,fnum,cumulative_nv,cnv_change_6m,unit_nv,unit_nv_change,pnv_change_1m,npv_thisy,class,risk,founded_date,scale,management,manager,fee,mmin_amount,rank_1y
华安添鑫中短债C,007020,2.37%,1.09%,1.0235,0.08%,0.43%,0.54%,债券型,中低风险,2019-02-25,0.38亿元（2019-12-31）,华安基金,马晓璇,0.00%,100元起购,1921 | 2105
圆信永丰兴利C,001919,16.88%,2.80%,1.139,-0.09%,0.80%,1.42%,债券型,中低风险,2016-02-23,0.01亿元（2019-12-31）,圆信永丰基金,林铮,0.00%,100元起购,972 | 2105
华商瑞丰短债C,007210,2.53%,1.82%,1.0253,0.01%,0.51%,0.76%,债券型,中低风险,2019-05-24,2.86亿元（2019-12-31）,华商基金,胡中原,0.00%,100元起购,1784 | 2105
易方达安源中短债债券A,110053,2.75%,1.62%,1.0275,0.01%,0.51%,0.74%,债券型,中低风险,2013-01-15,0.35亿元（2019-12-31）,易方达基金,李一硕,0.03%,100元起购,1798 | 2105
财通安瑞短债债券C,006966,3.34%,1.81%,1.0269,0.01%,0.45%,0.69%,债券型,中低风险,2019-03-20,3.20亿元（2019-12-31）,财通基金,林洪钧,0.00%,100元起购,1838 | 2105
交银丰盈收益债券C,005025,11.61%,2.05%,1.144,0.00%,0.79%,0.88%,债券型,中低风险,2017-08-14,0.07亿元（2019-12-31）,交银施罗德基金,于海颖,0.00%,100元起购,1668 | 2105
交银稳鑫短债债券A,006793,4.14%,2.13%,1.0314,0.01%,0.59%,0.90%,债券型,中低风险,2019-01-24,17.98亿元（2019-12-31）,交银施罗德基金,黄莹洁,0.03%,100元起购,1634 | 2105
创金合信聚利债券C,001200,14.60%,3.71%,1.146,-0.09%,1.06%,1.78%,债券型,中风险,2015-05-15,0.04亿元（2019-12-31）,创金合信基金,胡尧盛,0.00%,100元起购,572 | 2105
招商招轩纯债A,003371,21.27%,1.85%,1.1546,0.01%,0.46%,0.72%,债券型,中低风险,2016-10-26,3.07亿元（2019-12-31）,招商基金,马龙,0.08%,100元起购,1805 | 2105
鹏扬利泽债券C,004615,10.72%,1.61%,1.0408,0.01%,0.41%,0.58%,债券型,中低风险,2017-06-15,26.42亿元（2019-12-31）,鹏扬基金,陈钟闻,0.00%,1000元起购,1906 | 2105
新华鑫日享中短债C,006695,4.75%,2.04%,1.0475,0.02%,0.61%,0.84%,债券型,中低风险,2018-12-19,0.83亿元（2019-12-31）,新华基金,姚秋,0.00%,100元起购,1713 | 2105
