fname,fnum,cumulative_nv,cnv_change_6m,unit_nv,unit_nv_change,pnv_change_1m,npv_thisy,class,risk,founded_date,scale,management,manager,fee,mmin_amount,rank_1y
英大纯债债券A,650001,47.60%,2.14%,1.1696,0.14%,1.23%,1.56%,债券型,中低风险,2013-04-24,43.94亿元（2019-12-31）,英大基金,易祺坤,0.08%,100元起购,788 | 2105
建信睿怡纯债,002377,14.48%,1.30%,1.1194,0.09%,0.87%,1.28%,债券型,中低风险,2016-02-22,37.69亿元（2019-12-31）,建信基金,闫晗,0.06%,100元起购,1161 | 2105
万家瑞和灵活配置混合A,002664,27.42%,3.52%,1.1477,0.10%,1.25%,1.74%,混合型,中高风险,2016-04-26,0.00亿元（2019-12-31）,万家基金,侯慧娣,0.06%,100元起购,2009 | 3302
泓德裕荣纯债债券C,002735,17.15%,3.35%,1.072,0.09%,1.42%,2.10%,债券型,中低风险,2016-08-15,0.13亿元（2019-12-31）,泓德基金,李倩,0.00%,100元起购,396 | 2105
中银中高等级C,004548,19.45%,2.48%,1.072,0.09%,1.42%,2.10%,债券型,中低风险,2017-04-12,0.81亿元（2019-12-31）,中银基金,王妍,0.00%,100元起购,396 | 2105
兴银合盈债券A,001783,3.27%,2.57%,1.0195,0.14%,1.21%,1.56%,债券型,中低风险,2017-09-28,50.34亿元（2019-12-31）,兴银基金,洪木妹,0.06%,100元起购,793 | 2105
中银中高等级A,000305,44.90%,2.58%,1.074,0.09%,1.42%,2.09%,债券型,中低风险,2013-12-05,44.90亿元（2019-12-31）,中银基金,王妍,0.08%,100元起购,399 | 2105
万家3-5年政金债纯债A,519208,10.86%,3.56%,1.0744,0.16%,1.31%,1.83%,债券型,中低风险,2016-09-18,2.03亿元（2019-12-31）,万家基金,周潜玮,0.06%,100元起购,535 | 2105
兴银稳健债券,001575,12.71%,2.47%,1.0269,0.12%,1.12%,1.40%,债券型,中低风险,2015-12-14,7.05亿元（2019-12-31）,兴银基金,陶国峰,0.01%,100元起购,1003 | 2105
华润元大润鑫债券A,003418,13.50%,2.13%,1.0346,0.11%,0.83%,1.10%,债券型,中低风险,2016-10-17,3.88亿元（2019-12-31）,华润元大基金,李仆,0.08%,100元起购,1374 | 2105
工银国债纯债债券C,003643,9.04%,3.05%,1.0905,0.16%,1.18%,1.94%,债券型,中低风险,2016-12-16,0.67亿元（2019-12-31）,工银瑞信基金,张略钊,0.00%,100元起购,472 | 2105
建信中债国开行债C,007095,5.34%,3.35%,1.0381,0.16%,1.50%,1.74%,债券指数,中低风险,2019-04-30,0.01亿元（2019-12-31）,建信基金,闫晗,0.00%,100元起购,-- | 1608
建信中债国开行债A,007094,5.40%,3.38%,1.0387,0.16%,1.51%,1.76%,债券指数,中低风险,2019-04-30,6.62亿元（2019-12-31）,建信基金,闫晗,0.05%,100元起购,-- | 1608
英大纯债债券C,650002,41.05%,1.99%,1.1492,0.14%,1.20%,1.52%,债券型,中低风险,2013-04-24,0.35亿元（2019-12-31）,英大基金,易祺坤,0.00%,100元起购,851 | 2105
万家3-5年政金债纯债C,519209,9.28%,3.45%,1.0684,0.15%,1.29%,1.79%,债券型,中低风险,2016-09-18,0.00亿元（2019-12-31）,万家基金,周潜玮,0.00%,100元起购,561 | 2105
兴银合盈债券C,001784,3.17%,2.44%,1.0185,0.14%,1.18%,1.51%,债券型,中低风险,2017-09-28,0.00亿元（2019-12-31）,兴银基金,洪木妹,0.00%,100元起购,858 | 2105
华夏中债3-5年政金债指数C,007187,2.93%,2.83%,1.0203,0.13%,1.22%,1.55%,债券指数,中低风险,2019-07-12,0.01亿元（2019-12-31）,华夏基金,刘明宇,0.00%,100元起购,-- | 1608
华夏中债3-5年政金债指数A,007186,2.96%,2.88%,1.0204,0.13%,1.23%,1.56%,债券指数,中低风险,2019-07-12,43.55亿元（2019-12-31）,华夏基金,刘明宇,0.06%,100元起购,-- | 1608
金鹰元盛债券型发起式C,162108,31.45%,3.83%,1.109,0.18%,1.74%,2.69%,债券型,中低风险,2013-05-02,0.33亿元（2019-12-31）,金鹰基金,戴骏,0.00%,100元起购,222 | 2105
南方祥元债券A,004705,15.90%,3.12%,1.11,0.18%,1.37%,1.93%,债券型,中低风险,2017-08-03,9.62亿元（2019-12-31）,南方基金,黄斌斌,0.08%,100元起购,477 | 2105
天弘优选债券,000606,13.24%,2.48%,1.0518,0.13%,1.19%,1.77%,债券型,中低风险,2017-09-26,97.95亿元（2019-12-31）,天弘基金,刘洋,0.06%,100元起购,579 | 2105
易方达中债新综指(LOF)A,161119,42.76%,3.01%,1.4276,0.10%,1.21%,1.90%,债券指数,中低风险,2012-11-08,2.57亿元（2019-12-31）,易方达基金,王晓晨,0.08%,10元起购,521 | 1608
鹏华全球中短债(QDII)人民币A,206006,2.14%,8.66%,1.0107,0.29%,2.12%,1.63%,QDII,中风险,2010-10-12,0.36亿元（2019-12-31）,鹏华基金,尤柏年,0.08%,100元起购,63 | 270
银河丰利纯债债券,519654,11.19%,3.17%,1.04,0.12%,1.29%,1.78%,债券型,中低风险,2015-04-09,8.03亿元（2019-12-31）,银河基金,韩晶,0.08%,100元起购,568 | 2105
南方通利债券C,000564,44.74%,3.18%,1.131,0.09%,1.25%,2.07%,债券型,中低风险,2014-04-25,2.55亿元（2019-12-31）,南方基金,何康,0.00%,100元起购,403 | 2105
鹏华丰华债券,002188,19.97%,2.51%,1.1659,0.09%,0.96%,1.37%,债券型,中低风险,2015-12-02,4.16亿元（2019-12-31）,鹏华基金,刘太阳,0.08%,100元起购,1052 | 2105
易方达中债新综指(LOF)C,161120,40.01%,2.84%,1.4001,0.09%,1.17%,1.85%,债券指数,中低风险,2012-11-08,0.36亿元（2019-12-31）,易方达基金,王晓晨,0.00%,10元起购,608 | 1608
长盛盛康纯债债券A,003922,12.33%,2.70%,1.1233,0.16%,1.23%,1.45%,债券型,中低风险,2017-02-13,2.06亿元（2019-12-31）,长盛基金,蔡宾,0.08%,100元起购,935 | 2105
长盛盛康纯债债券C,003923,9.90%,2.65%,1.099,0.15%,1.23%,1.44%,债券型,中低风险,2017-02-13,0.01亿元（2019-12-31）,长盛基金,蔡宾,0.00%,100元起购,957 | 2105
华富恒稳纯债债券A,000898,25.17%,2.85%,1.2517,0.11%,1.10%,1.41%,债券型,中低风险,2014-12-17,14.38亿元（2019-12-31）,华富基金,姚姣姣,0.08%,100元起购,993 | 2105
方正富邦惠利纯债A,003787,11.92%,2.63%,1.0479,0.13%,1.20%,1.67%,债券型,中低风险,2016-12-19,5.24亿元（2019-12-31）,方正富邦基金,程同朦,0.08%,100元起购,663 | 2105
嘉实纯债债券C,070038,34.15%,2.54%,1.169,0.09%,1.30%,1.92%,债券型,中低风险,2012-12-11,0.53亿元（2019-12-31）,嘉实基金,轩璇,0.00%,100元起购,484 | 2105
融通通宸债券,003728,21.62%,9.21%,1.1405,0.10%,1.65%,2.42%,债券型,中低风险,2016-12-21,0.05亿元（2019-12-31）,融通基金,许富强,0.80%,100元起购,269 | 2105
中融恒信纯债C,003927,14.26%,2.87%,1.0553,0.10%,1.23%,1.68%,债券型,中低风险,2017-08-09,0.04亿元（2019-12-31）,中融基金,王玥,0.00%,100元起购,656 | 2105
中融恒信纯债A,003926,14.98%,3.01%,1.058,0.10%,1.25%,1.72%,债券型,中低风险,2017-08-09,19.06亿元（2019-12-31）,中融基金,王玥,0.06%,100元起购,614 | 2105
中融恒鑫纯债C,007561,3.11%,3.07%,1.0311,0.13%,1.13%,1.53%,债券型,中低风险,2019-08-20,0.00亿元（2019-12-31）,中融基金,王玥,0.00%,100元起购,844 | 2105
中融恒鑫纯债A,007560,3.20%,3.16%,1.032,0.13%,1.14%,1.56%,债券型,中低风险,2019-08-20,31.15亿元（2019-12-31）,中融基金,王玥,0.06%,100元起购,785 | 2105
嘉实纯债债券A,070037,35.96%,2.69%,1.184,0.08%,1.28%,1.89%,债券型,中低风险,2012-12-11,17.00亿元（2019-12-31）,嘉实基金,轩璇,0.08%,100元起购,496 | 2105
华夏鼎茂债券A,004042,18.63%,2.95%,1.1269,0.09%,1.22%,1.83%,债券型,中低风险,2017-03-15,38.17亿元（2019-12-31）,华夏基金,刘明宇,0.08%,100元起购,529 | 2105
华夏鼎茂债券C,004043,18.35%,2.89%,1.1313,0.09%,1.21%,1.82%,债券型,中低风险,2017-03-15,25.69亿元（2019-12-31）,华夏基金,刘明宇,0.00%,100元起购,543 | 2105
华富恒稳纯债债券C,000899,22.28%,2.58%,1.2228,0.11%,1.07%,1.35%,债券型,中低风险,2014-12-17,0.01亿元（2019-12-31）,华富基金,姚姣姣,0.00%,100元起购,1067 | 2105
创金合信尊丰纯债,003192,16.65%,2.79%,1.0789,0.08%,1.12%,1.74%,债券型,中低风险,2016-09-02,8.46亿元（2019-12-31）,创金合信基金,郑振源,0.08%,100元起购,603 | 2105
嘉实领航资产配置混合A,005156,10.93%,8.48%,1.1093,-0.97%,2.98%,3.80%,混合-FOF,中高风险,2017-10-26,4.34亿元（2019-12-31）,嘉实基金,张静,0.08%,100元起购,1821 | 3296
中信保诚稳达A,006177,9.81%,5.88%,1.0524,0.10%,1.05%,4.75%,债券型,中低风险,2018-08-31,0.71亿元（2019-12-31）,中信保诚基金,吴胤希,0.08%,100元起购,66 | 2105
万家鑫璟纯债C,003328,21.02%,4.07%,1.143,0.11%,1.22%,2.27%,债券型,中低风险,2016-09-18,0.20亿元（2019-12-31）,万家基金,周潜玮,0.00%,100元起购,317 | 2105
万家稳健养老(FOF),006294,8.53%,4.53%,1.0853,-0.15%,1.26%,1.66%,混合-FOF,中高风险,2018-12-13,3.00亿元（2019-12-31）,万家基金,徐朝贞,0.08%,100元起购,2402 | 3296
万家鑫璟纯债A,003327,21.97%,4.19%,1.1474,0.11%,1.24%,2.31%,债券型,中低风险,2016-09-18,5.93亿元（2019-12-31）,万家基金,周潜玮,0.04%,100元起购,301 | 2105
浙商惠盈纯债A,002279,17.70%,3.24%,1.0572,0.17%,1.01%,1.10%,债券型,中低风险,2015-12-23,0.51亿元（2019-12-31）,浙商基金,周锦程,0.08%,100元起购,1379 | 2105
中银美元债债券人民币,002286,21.50%,1.33%,1.215,0.08%,2.27%,1.50%,QDII,中风险,2015-12-30,2.99亿元（2019-12-31）,中银基金,郑涛,0.08%,100元起购,68 | 270
中信保诚稳鸿C,006012,5.34%,2.52%,1.0409,0.11%,1.00%,1.56%,债券型,中低风险,2018-05-31,1.26亿元（2019-12-31）,中信保诚基金,何文忠,0.00%,100元起购,797 | 2105
中信保诚稳达C,006178,6.20%,2.43%,1.0169,0.11%,1.04%,1.33%,债券型,中低风险,2018-08-31,60.48亿元（2019-12-31）,中信保诚基金,吴胤希,0.00%,100元起购,1083 | 2105
中融1-3年高等级信用债A,003083,8.90%,2.35%,1.0482,0.10%,1.09%,1.69%,债券指数,中低风险,2016-12-22,4.10亿元（2019-12-31）,中融基金,朱柏蓉,0.04%,100元起购,645 | 2105
中欧纯债债券(LOF)C,166016,55.80%,2.83%,1.237,0.08%,1.23%,1.73%,债券型,中低风险,2013-01-31,0.19亿元（2019-12-31）,中欧基金,赵国英,0.00%,100元起购,609 | 2105
万家宏观择时多策略混合,519212,27.19%,8.23%,1.2719,-1.15%,3.97%,-5.15%,混合型,中高风险,2017-03-30,2.08亿元（2019-12-31）,万家基金,孙远慧,0.15%,100元起购,3221 | 3302
西部利得合享A,675041,17.07%,3.14%,1.0558,0.09%,1.15%,1.58%,债券型,中风险,2016-08-25,34.22亿元（2019-12-31）,西部利得基金,刘心峰,0.08%,100元起购,769 | 2105
华泰柏瑞丰盛纯债债券A,000187,45.24%,3.36%,1.2777,0.03%,1.79%,2.59%,债券型,中低风险,2013-09-02,1.63亿元（2019-12-31）,华泰柏瑞基金,陈东,0.08%,100元起购,243 | 2105
景顺长城政策性金融债,003315,12.31%,2.68%,1.1231,0.12%,0.72%,0.99%,债券型,中低风险,2017-01-25,25.36亿元（2019-12-31）,景顺长城基金,成念良,0.06%,100元起购,1518 | 2105
中欧纯债债券(LOF)E,002592,11.06%,2.88%,1.252,0.08%,1.21%,1.71%,债券型,中低风险,2016-04-06,0.98亿元（2019-12-31）,中欧基金,赵国英,0.06%,100元起购,627 | 2105
嘉实中证金边国债ETF联接C,000088,6.54%,0.65%,1.0654,0.16%,0.67%,1.00%,联接基金,中低风险,2013-05-10,0.02亿元（2019-12-31）,嘉实基金,王亚洲,0.00%,100元起购,1574 | 1608
中银安享债券,005690,5.81%,2.65%,1.034,0.13%,1.17%,1.50%,债券型,中低风险,2018-11-26,57.19亿元（2019-12-31）,中银基金,周毅,0.08%,100元起购,870 | 2105
泰康瑞坤纯债债券,005054,14.88%,2.84%,1.0971,0.09%,1.15%,1.67%,债券型,中低风险,2017-12-27,1.61亿元（2019-12-31）,泰康资产,任翀,0.00%,100元起购,664 | 2105
鹏华丰康债券,004127,20.96%,4.39%,1.1,0.09%,1.64%,2.30%,债券型,中低风险,2017-03-17,17.63亿元（2019-12-31）,鹏华基金,李振宇,0.08%,100元起购,306 | 2105
嘉实中证金边国债ETF联接A,000087,6.91%,0.77%,1.0691,0.15%,0.71%,1.05%,联接基金,中低风险,2013-05-10,0.04亿元（2019-12-31）,嘉实基金,王亚洲,0.05%,100元起购,1580 | 1608
天弘弘利债券,000306,38.69%,2.77%,1.262,0.08%,1.20%,1.45%,债券型,中风险,2013-09-11,20.80亿元（2019-12-31）,天弘基金,赵鼎龙,0.10%,100元起购,948 | 2105
南方全天候策略(FOF)A,005215,13.61%,8.33%,1.1361,0.27%,2.77%,4.25%,混合-FOF,中高风险,2017-10-19,3.34亿元（2019-12-31）,南方基金,夏莹莹,0.08%,100元起购,1810 | 3206
银华美元债精选(QDII)A,007204,4.46%,5.00%,1.0446,0.29%,1.08%,1.13%,QDII,中风险,2019-05-27,3.33亿元（2019-12-31）,银华基金,吴双,0.08%,100元起购,90 | 270
博时富华纯债债券,003730,18.11%,2.93%,1.077,0.12%,1.17%,1.54%,债券型,中低风险,2016-11-25,10.65亿元（2019-12-31）,博时基金,陈凯杨,0.08%,100元起购,828 | 2105
鹏华普天债券B,160608,108.13%,2.27%,1.268,0.08%,1.04%,1.44%,债券型,中风险,2006-05-15,11.17亿元（2019-12-31）,鹏华基金,刘涛,0.00%,100元起购,956 | 2105
万家瑞盈灵活配置混合C,003735,17.53%,2.56%,1.1754,0.06%,1.15%,1.70%,混合型,中高风险,2016-11-11,10.14亿元（2019-12-31）,万家基金,侯慧娣,0.00%,100元起购,2020 | 3302
嘉实领航资产配置混合C,005157,8.69%,8.04%,1.0869,-0.97%,2.90%,3.66%,混合-FOF,中高风险,2017-10-26,0.85亿元（2019-12-31）,嘉实基金,张静,0.00%,100元起购,1850 | 3296
华泰柏瑞丰盛纯债债券C,000188,41.93%,3.13%,1.2477,0.03%,1.75%,2.51%,债券型,中低风险,2013-09-02,0.18亿元（2019-12-31）,华泰柏瑞基金,陈东,0.00%,100元起购,253 | 2105
工银纯债债券A,000402,37.44%,2.87%,1.1556,0.10%,1.15%,1.72%,债券型,中低风险,2014-05-16,45.55亿元（2019-12-31）,工银瑞信基金,张略钊,0.08%,100元起购,616 | 2105
兴银合丰政策性金融债,007433,2.75%,2.69%,1.0275,0.14%,1.23%,1.56%,债券型,中低风险,2019-08-09,0.61亿元（2019-12-31）,兴银基金,范泰奇,0.06%,100元起购,796 | 2105
国联安增利债券B,253021,58.99%,2.38%,1.288,0.16%,0.63%,1.02%,债券型,中风险,2009-03-11,0.22亿元（2019-12-31）,国联安基金,欧阳健,0.00%,100元起购,1473 | 2105
博时民丰纯债A,003708,15.38%,2.77%,1.0342,0.13%,1.08%,1.42%,债券型,中低风险,2016-11-30,18.17亿元（2019-12-31）,博时基金,黄海峰,0.08%,100元起购,979 | 2105
中融1-3年高等级信用债C,003084,7.74%,2.20%,1.0366,0.09%,1.05%,1.64%,债券指数,中低风险,2016-12-22,0.01亿元（2019-12-31）,中融基金,朱柏蓉,0.00%,100元起购,704 | 2105
银华美元债精选(QDII)C,007205,4.23%,4.86%,1.0423,0.29%,1.06%,1.09%,QDII,中风险,2019-05-27,0.02亿元（2019-12-31）,银华基金,吴双,0.00%,100元起购,93 | 270
东方臻选纯债债券A,006212,8.50%,3.56%,1.0434,0.08%,1.52%,2.26%,债券型,中低风险,2018-08-24,10.17亿元（2019-12-31）,东方基金,吴萍萍,0.08%,100元起购,324 | 2105
南方润元纯债债券C,202110,34.44%,2.03%,1.307,0.08%,1.00%,1.55%,债券型,中低风险,2012-07-20,0.53亿元（2019-12-31）,南方基金,金凌志,0.00%,10元起购,804 | 2105
格林泓鑫纯债C,006185,7.67%,3.66%,1.046,0.10%,1.49%,2.17%,债券型,中低风险,2018-10-29,0.57亿元（2019-12-31）,格林基金,宋东旭,0.00%,100元起购,363 | 2105
工银纯债债券B,000403,34.30%,2.66%,1.1445,0.10%,1.10%,1.64%,债券型,中低风险,2014-05-16,1.56亿元（2019-12-31）,工银瑞信基金,张略钊,0.00%,100元起购,695 | 2105
万家瑞盈灵活配置混合A,003734,17.67%,2.54%,1.1768,0.05%,1.15%,1.70%,混合型,中高风险,2016-11-11,0.49亿元（2019-12-31）,万家基金,侯慧娣,0.06%,100元起购,2021 | 3302
格林泓鑫纯债A,006184,7.80%,3.72%,1.0473,0.09%,1.50%,2.19%,债券型,中低风险,2018-10-29,1.88亿元（2019-12-31）,格林基金,宋东旭,0.08%,100元起购,355 | 2105
中金金元A,006570,4.32%,2.25%,1.0181,0.11%,1.07%,1.33%,债券型,中低风险,2018-11-08,60.29亿元（2019-12-31）,中金基金,石玉,0.10%,100元起购,1087 | 2105
南方全天候策略(FOF)C,005216,12.01%,8.01%,1.1201,0.28%,2.71%,4.16%,混合-FOF,中高风险,2017-10-19,0.94亿元（2019-12-31）,南方基金,夏莹莹,0.00%,100元起购,1819 | 3206
国联安增利债券A,253020,65.81%,2.56%,1.322,0.15%,0.69%,1.07%,债券型,中风险,2009-03-11,0.22亿元（2019-12-31）,国联安基金,欧阳健,0.08%,100元起购,1416 | 2105
国泰民安养老2040(FOF),007231,9.98%,8.80%,1.0998,-1.50%,3.02%,3.67%,混合-FOF,中高风险,2019-07-16,2.18亿元（2019-12-31）,国泰基金,邓时锋,0.12%,100元起购,1848 | 3296
前海开源顺和债券A,004290,13.37%,3.28%,1.1337,0.07%,1.40%,2.02%,债券型,中低风险,2017-08-03,1.22亿元（2019-12-31）,前海开源基金,刘静,0.08%,100元起购,432 | 2105
南方润元纯债债券A/B,前端：,38.53%,2.28%,1.347,0.07%,1.05%,1.66%,债券型,中低风险,2012-07-20,3.18亿元（2019-12-31）,南方基金,金凌志,0.08%,10元起购,670 | 2105
博时富发纯债,003207,18.01%,3.06%,1.0808,0.11%,1.18%,1.76%,债券型,中低风险,2016-09-07,3.19亿元（2019-12-31）,博时基金,陈凯杨,0.08%,100元起购,586 | 2105
华安鼎丰债券,003847,21.70%,3.73%,1.0469,0.07%,1.52%,2.24%,债券型,中低风险,2016-11-30,37.45亿元（2019-12-31）,华安基金,李邦长,0.08%,100元起购,336 | 2105
融通通润债券,003650,15.41%,2.47%,1.0481,0.11%,1.02%,1.49%,债券型,中风险,2017-03-13,8.28亿元（2019-12-31）,融通基金,刘明,0.07%,100元起购,877 | 2105
南方和元C,004556,14.31%,2.66%,1.016,0.10%,0.99%,1.48%,债券型,中低风险,2017-05-19,0.08亿元（2019-12-31）,南方基金,黄斌斌,0.00%,100元起购,893 | 2105
工银中高等级信用债债券A,000943,15.21%,2.45%,1.1521,0.08%,1.18%,1.62%,债券型,中低风险,2015-12-02,5.39亿元（2019-12-31）,工银瑞信基金,陈桂都,0.08%,100元起购,717 | 2105
南方和元A,004555,16.37%,2.74%,1.02,0.10%,0.99%,1.48%,债券型,中低风险,2017-05-19,10.19亿元（2019-12-31）,南方基金,黄斌斌,0.08%,100元起购,902 | 2105
华泰柏瑞季季红债券,000186,47.36%,3.59%,1.055,0.05%,1.50%,2.28%,债券型,中低风险,2013-11-13,15.32亿元（2019-12-31）,华泰柏瑞基金,罗远航,0.08%,100元起购,312 | 2105
中融恒惠纯债C,006036,5.71%,2.50%,1.0571,0.16%,1.11%,1.52%,债券型,中低风险,2018-12-27,0.01亿元（2019-12-31）,中融基金,王玥,0.00%,100元起购,853 | 2105
创金合信尊盛纯债,002438,19.94%,2.91%,1.024,0.10%,1.09%,1.49%,债券型,中低风险,2016-02-26,9.91亿元（2019-12-31）,创金合信基金,郑振源,0.08%,100元起购,887 | 2105
兴银瑞益,001960,14.85%,2.29%,1.025,0.10%,1.18%,1.38%,债券型,中低风险,2015-11-06,42.20亿元（2019-12-31）,兴银基金,洪木妹,0.01%,100元起购,1028 | 2105
前海开源顺和债券C,004291,12.75%,3.21%,1.1275,0.06%,1.38%,2.00%,债券型,中低风险,2017-08-03,0.09亿元（2019-12-31）,前海开源基金,刘静,0.00%,100元起购,442 | 2105
中金金元C,006571,5.19%,2.17%,1.0268,0.11%,1.06%,1.30%,债券型,中低风险,2018-11-08,0.00亿元（2019-12-31）,中金基金,石玉,0.00%,100元起购,1131 | 2105
工银中高等级信用债债券B,000944,13.14%,2.22%,1.1314,0.09%,1.14%,1.56%,债券型,中低风险,2015-12-02,0.78亿元（2019-12-31）,工银瑞信基金,陈桂都,0.00%,100元起购,795 | 2105
民生加银添鑫纯债A,007102,2.88%,2.78%,1.0288,0.05%,1.07%,1.52%,债券型,中低风险,2019-08-14,5.34亿元（2019-12-31）,民生加银基金,陆欣,0.04%,100元起购,850 | 2105
博时裕利纯债债券,002698,17.75%,2.80%,1.029,0.10%,0.98%,1.38%,债券型,中低风险,2016-05-09,60.73亿元（2019-12-31）,博时基金,陈黎,0.08%,100元起购,1037 | 2105
上投摩根瑞利纯债C,007504,2.90%,2.90%,1.029,0.14%,1.11%,1.35%,债券型,中低风险,2019-08-28,0.00亿元（2019-12-31）,上投摩根基金,唐瑭,0.00%,100元起购,1069 | 2105
上投摩根瑞利纯债A,007503,2.96%,2.96%,1.0296,0.15%,1.12%,1.37%,债券型,中低风险,2019-08-28,1.73亿元（2019-12-31）,上投摩根基金,唐瑭,0.08%,100元起购,1050 | 2105
前海联合添和纯债C,003499,13.88%,2.97%,1.0655,0.09%,1.09%,1.60%,债券型,中低风险,2016-12-07,7.74亿元（2019-12-31）,前海联合,张雅洁,0.00%,100元起购,743 | 2105
上投摩根纯债丰利债券C,000840,16.87%,2.47%,1.032,0.10%,0.98%,1.18%,债券型,中低风险,2014-11-18,0.03亿元（2019-12-31）,上投摩根基金,聂曙光,0.00%,100元起购,1274 | 2105
创金合信恒兴中短债A,006874,6.73%,4.14%,1.0673,0.06%,1.34%,1.95%,债券型,中低风险,2019-03-05,2.08亿元（2019-12-31）,创金合信基金,郑振源,0.04%,100元起购,468 | 2105
博时民丰纯债C,003709,13.91%,2.56%,1.033,0.12%,1.04%,1.35%,债券型,中低风险,2016-11-30,0.00亿元（2019-12-31）,博时基金,黄海峰,0.00%,100元起购,1061 | 2105
华泰柏瑞丰汇债券A,000421,24.23%,2.91%,1.0707,0.07%,1.06%,1.35%,债券型,中风险,2014-12-11,4.46亿元（2019-12-31）,华泰柏瑞基金,陈东,0.08%,100元起购,1062 | 2105
广发集泰债券C,005560,7.37%,3.25%,1.0737,0.07%,0.76%,0.91%,债券型,中风险,2018-07-26,0.11亿元（2019-12-31）,广发基金,王予柯,0.00%,100元起购,1624 | 2105
博时华盈纯债债券,004458,15.70%,2.77%,1.0393,0.13%,1.11%,1.41%,债券型,中低风险,2017-03-09,17.42亿元（2019-12-31）,博时基金,黄海峰,0.08%,100元起购,997 | 2105
信诚稳泰A,004108,13.26%,1.89%,1.0453,0.11%,0.86%,1.20%,债券型,中低风险,2017-02-16,2.05亿元（2019-12-31）,中信保诚基金,宋海娟,0.08%,10元起购,1242 | 2105
中融恒惠纯债A,006035,4.59%,2.60%,1.0459,0.15%,1.11%,1.53%,债券型,中低风险,2018-12-27,1.13亿元（2019-12-31）,中融基金,王玥,0.06%,100元起购,831 | 2105
信诚稳泰C,004109,13.26%,1.84%,1.0464,0.11%,0.85%,1.19%,债券型,中低风险,2017-02-16,12.31亿元（2019-12-31）,中信保诚基金,宋海娟,0.00%,10元起购,1260 | 2105
广发集泰债券A,005559,8.12%,3.45%,1.0812,0.06%,0.79%,0.97%,债券型,中风险,2018-07-26,0.41亿元（2019-12-31）,广发基金,王予柯,0.08%,100元起购,1538 | 2105
华宝量化对冲混合A,000753,36.93%,4.51%,1.1618,-0.04%,1.81%,2.91%,混合型,中低风险,2014-09-17,0.98亿元（2019-12-31）,华宝基金,徐林明,0.08%,10元起购,1597 | 3302
圆信永丰兴融A,002073,20.33%,3.82%,1.06,0.09%,1.34%,1.83%,债券型,中低风险,2015-12-21,17.29亿元（2019-12-31）,圆信永丰基金,林铮,0.08%,100元起购,538 | 2105
民生加银添鑫纯债C,007103,2.66%,2.57%,1.0266,0.05%,1.03%,1.45%,债券型,中低风险,2019-08-14,2.47亿元（2019-12-31）,民生加银基金,陆欣,0.00%,100元起购,938 | 2105
平安惠盈纯债,002795,15.60%,3.30%,1.063,0.09%,1.43%,2.02%,债券型,中低风险,2016-06-03,10.40亿元（2019-12-31）,平安基金,余斌,0.08%,100元起购,439 | 2105
创金合信恒兴中短债C,006875,6.38%,3.97%,1.0638,0.06%,1.30%,1.89%,债券型,中低风险,2019-03-05,2.71亿元（2019-12-31）,创金合信基金,郑振源,0.00%,100元起购,500 | 2105
平安中短债债券A,004827,4.70%,3.59%,1.0638,0.05%,1.51%,2.08%,债券型,中低风险,2017-08-23,20.37亿元（2019-12-31）,平安基金,段玮婧,0.03%,100元起购,400 | 2105
华安信用四季红债券A,040026,59.45%,2.78%,1.066,0.09%,1.14%,1.72%,债券型,中低风险,2011-12-08,5.22亿元（2019-12-31）,华安基金,苏玉平,0.08%,100元起购,615 | 2105
华安信用四季红债券C,006015,8.51%,2.49%,1.066,0.09%,1.14%,1.62%,债券型,中低风险,2018-05-17,1.04亿元（2019-12-31）,华安基金,苏玉平,0.00%,100元起购,720 | 2105
中银纯债债券C,380006,38.10%,1.99%,1.073,0.09%,0.94%,1.42%,债券型,中低风险,2012-12-12,3.37亿元（2019-12-31）,中银基金,陈玮,0.00%,100元起购,985 | 2105
博时富和纯债债券,004479,13.66%,2.76%,1.0376,0.10%,1.15%,1.48%,债券型,中低风险,2017-08-30,21.23亿元（2019-12-31）,博时基金,黄海峰,0.08%,100元起购,905 | 2105
中银纯债债券A,380005,41.71%,2.09%,1.074,0.09%,0.94%,1.42%,债券型,中低风险,2012-12-12,67.95亿元（2019-12-31）,中银基金,陈玮,0.08%,100元起购,988 | 2105
中融恒泰纯债A,003013,15.57%,3.14%,1.0389,0.09%,1.28%,1.69%,债券型,中低风险,2016-12-27,5.08亿元（2019-12-31）,中融基金,李倩,0.06%,100元起购,640 | 2105
华宝量化对冲混合C,000754,35.37%,4.29%,1.1489,-0.04%,1.76%,2.84%,混合型,中低风险,2014-09-17,3.17亿元（2019-12-31）,华宝基金,徐林明,0.00%,100元起购,1613 | 3302
大成景旭纯债债券A,000152,45.70%,2.64%,1.0789,0.10%,1.03%,1.34%,债券型,中低风险,2013-07-23,0.11亿元（2019-12-31）,大成基金,陈会荣,0.08%,100元起购,1076 | 2105
华泰柏瑞丰汇债券C,000422,21.42%,2.85%,1.0429,0.08%,1.02%,1.28%,债券型,中风险,2014-12-11,0.01亿元（2019-12-31）,华泰柏瑞基金,陈东,0.00%,100元起购,1147 | 2105
交银纯债债券发起C,519720,33.28%,3.41%,1.087,0.00%,1.49%,2.16%,债券型,中低风险,2012-12-19,0.49亿元（2019-12-31）,交银施罗德基金,于海颖,0.00%,100元起购,371 | 2105
